"Station Name","OTTAWA CDA"
"Province","ONTARIO"
"Latitude","45.38"
"Longitude","-75.72"
"Elevation","79.20"
"Climate Identifier","6105976"
"WMO Identifier",""
"TC Identifier","WCG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1989-01-01","1989","01","01","","-12.2","","-20.5","","-16.4","","34.4","","0.0","","0.0","","1.4","","1.4","","9","","","","",""
"1989-01-02","1989","01","02","","-4.3","","-14.6","","-9.5","","27.5","","0.0","","0.0","","3.4","","3.4","","10","","","","",""
"1989-01-03","1989","01","03","","-16.2","","-19.2","","-17.7","","35.7","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1989-01-04","1989","01","04","","-20.5","","-27.3","","-23.9","","41.9","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1989-01-05","1989","01","05","","-15.6","","-25.2","","-20.4","","38.4","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1989-01-06","1989","01","06","","-12.2","","-24.5","","-18.4","","36.4","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1989-01-07","1989","01","07","","3.6","","-14.9","","-5.7","","23.7","","0.0","","4.8","","0.0","T","4.8","","12","","","","",""
"1989-01-08","1989","01","08","","6.6","","-8.5","","-1.0","","19.0","","0.0","","0.0","T","1.6","","1.6","","10","","","","",""
"1989-01-09","1989","01","09","","-8.2","","-11.7","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1989-01-10","1989","01","10","","0.7","","-15.2","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
"1989-01-11","1989","01","11","","-10.9","","-15.1","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"1989-01-12","1989","01","12","","3.1","","-15.5","","-6.2","","24.2","","0.0","","0.6","","0.4","","1.0","","2","","","","",""
"1989-01-13","1989","01","13","","-5.8","","-7.4","","-6.6","","24.6","","0.0","","0.0","","0.8","","0.8","","2","","","","",""
"1989-01-14","1989","01","14","","1.6","","-11.1","","-4.8","","22.8","","0.0","","0.0","","5.0","","5.0","","3","","","","",""
"1989-01-15","1989","01","15","","1.6","","-2.6","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"1989-01-16","1989","01","16","","-3.5","","-9.9","","-6.7","","24.7","","0.0","","0.0","","0.2","","0.2","","6","","","","",""
"1989-01-17","1989","01","17","","2.4","","-11.9","","-4.8","","22.8","","0.0","","0.0","","1.4","","1.4","","6","","","","",""
"1989-01-18","1989","01","18","","-0.6","","-4.7","","-2.7","","20.7","","0.0","","0.0","","7.8","","7.8","","6","","","","",""
"1989-01-19","1989","01","19","","-0.2","","-4.0","","-2.1","","20.1","","0.0","","0.0","","9.4","","9.4","","13","","","","",""
"1989-01-20","1989","01","20","","-0.8","","-6.6","","-3.7","","21.7","","0.0","","0.0","","3.0","","3.0","","21","","","","",""
"1989-01-21","1989","01","21","","-8.7","","-24.3","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1989-01-22","1989","01","22","","0.7","","-19.4","","-9.4","","27.4","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1989-01-23","1989","01","23","","2.7","","-13.1","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1989-01-24","1989","01","24","","2.5","","-10.1","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"1989-01-25","1989","01","25","","-12.6","","-16.4","","-14.5","","32.5","","0.0","","0.2","","4.8","","5.0","","9","","","","",""
"1989-01-26","1989","01","26","","-2.7","","-16.0","","-9.4","","27.4","","0.0","","1.2","","1.6","","2.8","","12","","","","",""
"1989-01-27","1989","01","27","","0.0","","-9.6","","-4.8","","22.8","","0.0","","0.0","","0.2","","0.2","","13","","","","",""
"1989-01-28","1989","01","28","","5.0","","-14.3","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"1989-01-29","1989","01","29","","4.1","","-4.6","","-0.3","","18.3","","0.0","","0.3","","0.8","","1.1","","11","","","","",""
"1989-01-30","1989","01","30","","3.5","","-2.1","","0.7","","17.3","","0.0","","1.8","","0.0","T","1.8","","9","","","","",""
"1989-01-31","1989","01","31","","5.0","","-3.9","","0.6","","17.4","","0.0","","0.0","T","0.2","","0.2","","6","","","","",""
"1989-02-01","1989","02","01","","-0.2","","-7.3","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"1989-02-02","1989","02","02","","-12.2","","-15.8","","-14.0","","32.0","","0.0","","0.0","","1.4","","1.4","","4","","","","",""
"1989-02-03","1989","02","03","","-9.2","","-14.0","","-11.6","","29.6","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"1989-02-04","1989","02","04","","-12.2","","-20.7","","-16.5","","34.5","","0.0","","0.0","","0.8","","0.5","","5","","","","",""
"1989-02-05","1989","02","05","","-4.5","","-16.2","","-10.4","","28.4","","0.0","","0.0","","6.6","","5.4","","6","","","","",""
"1989-02-06","1989","02","06","","-2.8","","-10.1","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","14","","","","",""
"1989-02-07","1989","02","07","","-3.5","","-10.2","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","14","","","","",""
